mem,var,0x0,CheckDlgButton,,,,,,,,,
PTR,1,0x5,PTR,var,CoCreateInstance,,,,,,,
var,mem,0x0,0x20019,PTR,RegOpenKeyEx,,,,,,,
ret,expr,2,var,1,ReadFile,,,,,,,
0x13ff,1,ret,0x0,var,1,1,FormatMessage,,,,,
ret,0x900a4,ret,2,1,1,var,1,DeviceIoControl,,,,
0x400,0x1010,var,1,GetLocaleInfo,,,,,,,,
0x0,PTR,1,1,0x0,1,1,1,1,1,mem,1,CreateWindowEx
mem,0x0,1,1,var,var,0xe,SetWindowPos,,,,,
0x0,0x0,expr,expr,var,2,MultiByteToWideChar,,,,,,
0x7f,0x1,expr,1,PTR,1,CompareString,,,,,,
mem,3,1,var,SendMessage,,,,,,,,
expr,mem,0x1,PTR,expr,CoCreateInstance,,,,,,,
var,0xc0000000,0x0,1,0x3,0x0,1,CreateFile,,,,,
mem,4,8,1,SendMessage,,,,,,,,
ret,0x0,1,1,var,var,0x14,SetWindowPos,,,,,
var,var,var,SetDlgItemText,,,,,,,,,
mem,4,0xf1,1,1,SendDlgItemMessage,,,,,,,
var,4,var,SetDlgItemText,,,,,,,,,
PTR,1,0x1,PTR,expr,CoCreateInstance,,,,,,,
0x400,0x1,mem,mem,mem,mem,CompareString,,,,,,
var,3,0x0,CheckDlgButton,,,,,,,,,
var,var,expr,1,GetLocaleInfo,,,,,,,,
0x0,0x0,var,1,expr,ret,1,1,WideCharToMultiByte,,,,
PTR,1,0x1,PTR,expr,CoCreateInstance,,,,,,,
var,PTR,1,var,expr,var,RegQueryValueEx,,,,,,
0x0,1,1,0x1,var,1,RegSetValueEx,,,,,,
ret,0x9,var,mem,var,1,MultiByteToWideChar,,,,,,
0x0,var,1,var,expr,var,RegQueryValueEx,,,,,,
0x0,0x1,mem,expr,1,1,MultiByteToWideChar,,,,,,
ret,PTR,1,var,MessageBox,,,,,,,,
PTR,reg,0x3,PTR,expr,CoCreateInstance,,,,,,,
mem,3,1,1,PostMessage,,,,,,,,
var,var,var,var,var,expr,0x6,SetWindowPos,,,,,
PTR,1,0x401,PTR,expr,CoCreateInstance,,,,,,,
PTR,mem,0x1,PTR,expr,CoCreateInstance,,,,,,,
var,var,0x172,1,var,SendDlgItemMessage,,,,,,,
mem,3,1,1,PostMessage,,,,,,,,
PTR,0x80000000,0x0,1,0x3,0x0,1,CreateFile,,,,,
0x80000001,PTR,1,1,0x0,0x2001b,1,var,var,RegCreateKeyEx,,,
ret,0x8,3,HeapAlloc,,,,,,,,,
0x0,0x1,expr,1,expr,2,MultiByteToWideChar,,,,,,
0x400,0x12,var,1,GetLocaleInfo,,,,,,,,
0x0,0x0,PTR,1,PTR,1,CompareString,,,,,,
mem,2,var,3,LoadString,,,,,,,,
mem,var,var,var,var,var,1,var,DeviceIoControl,,,,
0x0,PTR,1,0x3,ret,ret,RegSetValueEx,,,,,,
mem,0x80000000,0xffffffff,1,0x3,mem,1,CreateFile,,,,,
var,4,var,SetDlgItemText,,,,,,,,,
ret,2,1,mem,PostMessage,,,,,,,,
0x80000002,PTR,1,1,0x0,0xf003f,1,var,0x0,RegCreateKeyEx,,,
ret,0x0,3,HeapAlloc,,,,,,,,,
0x80000002,PTR,1,1,0x0,0x2001f,1,var,var,RegCreateKeyEx,,,
var,var,1,var,1,WriteFile,,,,,,,
0x0,PTR,1,1,0x0,0xf003f,1,var,0x0,RegCreateKeyEx,,,
var,3,mem,SetDlgItemText,,,,,,,,,
ret,0x8,expr,HeapAlloc,,,,,,,,,
var,PTR,1,var,PTR,var,RegQueryValueEx,,,,,,
0x3a4,0x0,var,1,var,1,MultiByteToWideChar,,,,,,
var,0x7c088,ret,2,var,var,var,1,DeviceIoControl,,,,
var,3,mem,SetDlgItemText,,,,,,,,,
ret,0x560030,1,1,1,1,var,1,DeviceIoControl,,,,
mem,2,var,3,LoadString,,,,,,,,
0x1900,var,var,0x0,var,1,1,FormatMessage,,,,,
mem,4,0x14b,1,1,SendDlgItemMessage,,,,,,,
mem,0x40000000,0x0,1,0x2,0x80,1,CreateFile,,,,,
var,var,var,1,var,0x80,1,CreateFile,,,,,
0xfde9,0x0,mem,mem,1,1,MultiByteToWideChar,,,,,,
mem,3,var,1,SetTimer,,,,,,,,
0x400,0x20000012,expr,1,GetLocaleInfo,,,,,,,,
var,0x0,1,1,var,var,0x6,SetWindowPos,,,,,
ret,mem,var,var,1,ReadFile,,,,,,,
mem,0x220,ret,8,1,1,1,1,WideCharToMultiByte,,,,
mem,0x80000000,0x0,1,0x3,0x0,1,CreateFile,,,,,
1,2,var,2,LoadString,,,,,,,,
var,PTR,2,var,1,WriteFile,,,,,,,
var,1,0x3,PTR,var,CoCreateInstance,,,,,,,
mem,4,0x1,CheckDlgButton,,,,,,,,,
var,var,var,var,var,var,RegQueryValueEx,,,,,,
var,4,0x0,CheckDlgButton,,,,,,,,,
mem,3,1,1,PostMessage,,,,,,,,
mem,var,1,var,var,mem,RegSetValueEx,,,,,,
0x7f,0x1,expr,8,PTR,8,CompareString,,,,,,
ret,0x0,4,HeapAlloc,,,,,,,,,
mem,3,var,SetDlgItemText,,,,,,,,,
var,var,1,1,1,1,RegQueryValueEx,,,,,,
var,0x0,var,var,var,var,MultiByteToWideChar,,,,,,
var,var,ret,var,1,ReadFile,,,,,,,
ret,0x0,mem,8,expr,expr,1,1,WideCharToMultiByte,,,,
0x0,PTR,1,var,expr,var,RegQueryValueEx,,,,,,
mem,0xfffffffe,1,1,1,1,0x43,SetWindowPos,,,,,
0x80000002,PTR,0x0,0x3,var,RegOpenKeyEx,,,,,,,
0x0,0x0,expr,8,expr,2,1,1,WideCharToMultiByte,,,,
mem,expr,mem,var,expr,WriteFile,,,,,,,
ret,var,2,var,1,WriteFile,,,,,,,
0x80000002,var,0x0,0xf003f,var,RegOpenKeyEx,,,,,,,
mem,0x0,1,HeapAlloc,,,,,,,,,
0x400,0x30001,expr,mem,expr,mem,CompareString,,,,,,
mem,0x0,expr,mem,mem,mem,mem,SetWindowPos,,,,,
1,3,var,PTR,SetTimer,,,,,,,,
ret,2,1,1,PostMessage,,,,,,,,
PTR,ret,0x1,PTR,expr,CoCreateInstance,,,,,,,
mem,ret,5,var,1,ReadFile,,,,,,,
mem,0x4d02c,var,3,var,3,var,1,DeviceIoControl,,,,
0x2900,mem,8,0x400,var,1,var,FormatMessage,,,,,
0x0,0x0,expr,1,expr,1,1,1,WideCharToMultiByte,,,,
0x0,expr,var,1,0x80000000,8,8,8,8,1,1,1,CreateWindowEx
mem,0x220,mem,ret,1,1,1,1,WideCharToMultiByte,,,,
0x0,PTR,1,var,expr,var,RegQueryValueEx,,,,,,
var,var,1,1,0x0,0x102,1,var,0x0,RegCreateKeyEx,,,
ret,0x8,3,HeapAlloc,,,,,,,,,
ret,var,2,var,1,ReadFile,,,,,,,
var,1,0x3,PTR,expr,CoCreateInstance,,,,,,,
mem,3,var,2,LoadString,,,,,,,,
var,var,0x0,0x2,var,RegOpenKeyEx,,,,,,,
0x10004,PTR,1,8,0x0,1,1,1,mem,3,mem,reg,CreateWindowEx
ret,var,var,0x1,MessageBox,,,,,,,,
var,1,0x1,PTR,expr,CoCreateInstance,,,,,,,
var,var,1,1,1,1,0x13,SetWindowPos,,,,,
PTR,var,0x3,PTR,var,CoCreateInstance,,,,,,,
mem,4,1,var,SendMessage,,,,,,,,
var,mem,0x0,CheckDlgButton,,,,,,,,,
mem,mem,var,1,SetTimer,,,,,,,,
ret,1,var,var,1,WriteFile,,,,,,,
0x80000002,ret,1,1,0x0,var,1,var,var,RegCreateKeyEx,,,
0x7f,0x1,mem,8,var,8,CompareString,,,,,,
mem,var,var,2,LoadString,,,,,,,,
0x1300,1,var,0x0,var,1,1,FormatMessage,,,,,
0x0,0x0,ret,expr,var,2,1,var,WideCharToMultiByte,,,,
var,PTR,1,var,expr,var,RegQueryValueEx,,,,,,
0x80000002,mem,0x0,0x10,expr,RegOpenKeyEx,,,,,,,
0x7f,0x0,var,8,var,8,CompareString,,,,,,
mem,4,1,var,SendMessage,,,,,,,,
var,reg,1,var,var,var,RegQueryValueEx,,,,,,
0x80000002,PTR,0x0,0x10100,var,RegOpenKeyEx,,,,,,,
mem,ret,1,1,PostMessage,,,,,,,,
0x1000,ret,var,0x0,var,4,1,FormatMessage,,,,,
